api,status,where it's hosted,method,link,endpoint url,description,app_component
parse-resume-skill,active,GCP,POST,https://console.cloud.google.com/run/detail/europe-west1/parse-resume-skill/source?inv=1&invt=Ab5Tfw&project=fsr-talent-match,https://parse-resume-skill-709637652952.europe-west1.run.app,"Parses a resume PDF from a given URL, extracts text, and uses OpenAI to return structured candidate data including personal details, skills with classifications, and total years of experience","app\api\parse-resume\route.ts, app\actions\match-analysis.ts"
generate-linkedin-queries,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/generate-linkedin-queries,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/generate-linkedin-queries,"Generates LinkedIn search queries based on job requirements",lib\api\linkedin-queries.ts
generate-interview-questions,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/generate-interview-questions,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/generate-interview-questions,"Generates interview questions based on job requirements and candidate profile",components\interview-questions-generator.tsx
parse-linkedin-skill,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/parse-linkedin-skill,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/parse-linkedin-skill,"Parses LinkedIn profiles to extract candidate skills and experience","app\actions\match-analysis.ts, components\create-talent-dialog\hooks\useLinkedInProcessor.ts"
job-details-extractor,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/job-details-extractor,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/job-details-extractor,"Extracts structured job details from job descriptions","components\create-job-dialog.tsx, components\job-details-dialog.tsx"
generate-job-description,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/generate-job-description,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/generate-job-description,"Generates job descriptions based on role requirements",app\actions\job-management.ts
email-builder,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/email-builder,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/email-builder,"Builds personalized email templates for candidate outreach",app\actions\email-builder.ts
match-analysis-linkedin-v2,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/match-analysis-linkedin-v2,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/match-analysis-linkedin-v2,"Enhanced LinkedIn profile matching with seniority analysis","app\actions\enhanced-match-analysis.ts, app\actions\match-analysis.ts"
match-analysis-pdf-v2,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/match-analysis-pdf-v2,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/match-analysis-pdf-v2,"Enhanced PDF resume matching with seniority analysis","app\actions\enhanced-match-analysis.ts, app\actions\match-analysis.ts"
match-analysis-fallback-v2,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/match-analysis-fallback-v2,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/match-analysis-fallback-v2,"Fallback matching for existing candidates with seniority analysis","app\actions\enhanced-match-analysis.ts, app\actions\match-analysis.ts"
simulate-interview,active,Supabase,POST,https://supabase.com/dashboard/project/klhhdgizxytfmolwabfl/functions/simulate-interview,https://klhhdgizxytfmolwabfl.supabase.co/functions/v1/simulate-interview,"Simulates interview conversations and generates transcripts",app\actions\interviews.ts
