name,display_name,is_active
Africa/Abidjan,Africa/Abidjan (GMT),TRUE
Africa/Accra,Africa/Accra (GMT),TRUE
Africa/Algiers,Africa/Algiers (GMT+1),TRUE
Africa/Bissau,Africa/Bissau (GMT),TRUE
Africa/Cairo,Africa/Cairo (GMT+2),TRUE
Africa/Casablanca,Africa/Casablanca (GMT+1),TRUE
Africa/Ceuta,Africa/Ceuta (GMT+1),TRUE
Africa/Dar_es_Salaam,Africa/Dar_es_Salaam (GMT+3),TRUE
Africa/Djibouti,Africa/Djibouti (GMT+3),TRUE
Africa/Johannesburg,Africa/Johannesburg (GMT+2),TRUE
Africa/Khartoum,Africa/Khartoum (GMT+2),TRUE
Africa/Lagos,Africa/Lagos (GMT+1),TRUE
Africa/Maputo,Africa/Maputo (GMT+2),TRUE
Africa/Monrovia,Africa/Monrovia (GMT),TRUE
Africa/Nairobi,Africa/Nairobi (GMT+3),TRUE
Africa/Ndjamena,Africa/Ndjamena (GMT+1),TRUE
Africa/Tripoli,Africa/Tripoli (GMT+2),TRUE
Africa/Tunis,Africa/Tunis (GMT+1),TRUE
Africa/Windhoek,Africa/Windhoek (GMT+2),TRUE
America/Adak,America/Adak (GMT-10),TRUE
America/Anchorage,America/Anchorage (GMT-9),TRUE
America/Araguaina,America/Araguaina (GMT-3),TRUE
America/Argentina/Buenos_Aires,America/Argentina/Buenos_Aires (GMT-3),TRUE
America/Argentina/Cordoba,America/Argentina/Cordoba (GMT-3),TRUE
America/Argentina/Salta,America/Argentina/Salta (GMT-3),TRUE
America/Argentina/Tucuman,America/Argentina/Tucuman (GMT-3),TRUE
America/Asuncion,America/Asuncion (GMT-4),TRUE
America/Atikokan,America/Atikokan (GMT-5),TRUE
America/Bahia,America/Bahia (GMT-3),TRUE
America/Bahia_Banderas,America/Bahia_Banderas (GMT-6),TRUE
America/Barbados,America/Barbados (GMT-4),TRUE
America/Belize,America/Belize (GMT-6),TRUE
America/Blanc-Sablon,America/Blanc-Sablon (GMT-4),TRUE
America/Bogota,America/Bogota (GMT-5),TRUE
America/Boise,America/Boise (GMT-7),TRUE
America/Cambridge_Bay,America/Cambridge_Bay (GMT-7),TRUE
America/Campo_Grande,America/Campo_Grande (GMT-4),TRUE
America/Cancun,America/Cancun (GMT-5),TRUE
America/Caracas,America/Caracas (GMT-4),TRUE
America/Cayenne,America/Cayenne (GMT-3),TRUE
America/Chicago,America/Chicago (GMT-6),TRUE
America/Chihuahua,America/Chihuahua (GMT-7),TRUE
America/Costa_Rica,America/Costa_Rica (GMT-6),TRUE
America/Creston,America/Creston (GMT-7),TRUE
America/Cuiaba,America/Cuiaba (GMT-4),TRUE
America/Curacao,America/Curacao (GMT-4),TRUE
America/Danmarkshavn,America/Danmarkshavn (GMT),TRUE
America/Dawson,America/Dawson (GMT-7),TRUE
America/Dawson_Creek,America/Dawson_Creek (GMT-7),TRUE
America/Denver,America/Denver (GMT-7),TRUE
America/Detroit,America/Detroit (GMT-5),TRUE
America/Edmonton,America/Edmonton (GMT-7),TRUE
America/Eirunepe,America/Eirunepe (GMT-5),TRUE
America/El_Salvador,America/El_Salvador (GMT-6),TRUE
America/Fort_Nelson,America/Fort_Nelson (GMT-7),TRUE
America/Fortaleza,America/Fortaleza (GMT-3),TRUE
America/Glace_Bay,America/Glace_Bay (GMT-4),TRUE
America/Goose_Bay,America/Goose_Bay (GMT-4),TRUE
America/Grand_Turk,America/Grand_Turk (GMT-5),TRUE
America/Guatemala,America/Guatemala (GMT-6),TRUE
America/Guayaquil,America/Guayaquil (GMT-5),TRUE
America/Guyana,America/Guyana (GMT-4),TRUE
America/Halifax,America/Halifax (GMT-4),TRUE
America/Havana,America/Havana (GMT-5),TRUE
America/Hermosillo,America/Hermosillo (GMT-7),TRUE
America/Indiana/Indianapolis,America/Indiana/Indianapolis (GMT-5),TRUE
America/Indiana/Knox,America/Indiana/Knox (GMT-6),TRUE
America/Indiana/Marengo,America/Indiana/Marengo (GMT-5),TRUE
America/Indiana/Petersburg,America/Indiana/Petersburg (GMT-5),TRUE
America/Indiana/Tell_City,America/Indiana/Tell_City (GMT-6),TRUE
America/Indiana/Vevay,America/Indiana/Vevay (GMT-5),TRUE
America/Indiana/Vincennes,America/Indiana/Vincennes (GMT-5),TRUE
America/Indiana/Winamac,America/Indiana/Winamac (GMT-5),TRUE
America/Inuvik,America/Inuvik (GMT-7),TRUE
America/Iqaluit,America/Iqaluit (GMT-5),TRUE
America/Jamaica,America/Jamaica (GMT-5),TRUE
America/Juneau,America/Juneau (GMT-9),TRUE
America/Kentucky/Louisville,America/Kentucky/Louisville (GMT-5),TRUE
America/Kentucky/Monticello,America/Kentucky/Monticello (GMT-5),TRUE
America/La_Paz,America/La_Paz (GMT-4),TRUE
America/Lima,America/Lima (GMT-5),TRUE
America/Los_Angeles,America/Los_Angeles (GMT-8),TRUE
America/Maceio,America/Maceio (GMT-3),TRUE
America/Managua,America/Managua (GMT-6),TRUE
America/Manaus,America/Manaus (GMT-4),TRUE
America/Martinique,America/Martinique (GMT-4),TRUE
America/Matamoros,America/Matamoros (GMT-6),TRUE
America/Mazatlan,America/Mazatlan (GMT-7),TRUE
America/Menominee,America/Menominee (GMT-6),TRUE
America/Merida,America/Merida (GMT-6),TRUE
America/Metlakatla,America/Metlakatla (GMT-9),TRUE
America/Mexico_City,America/Mexico_City (GMT-6),TRUE
America/Miquelon,America/Miquelon (GMT-3),TRUE
America/Moncton,America/Moncton (GMT-4),TRUE
America/Monterrey,America/Monterrey (GMT-6),TRUE
America/Montevideo,America/Montevideo (GMT-3),TRUE
America/Nassau,America/Nassau (GMT-5),TRUE
America/New_York,America/New_York (GMT-5),TRUE
America/Nipigon,America/Nipigon (GMT-5),TRUE
America/Nome,America/Nome (GMT-9),TRUE
America/Noronha,America/Noronha (GMT-2),TRUE
America/North_Dakota/Beulah,America/North_Dakota/Beulah (GMT-6),TRUE
America/North_Dakota/Center,America/North_Dakota/Center (GMT-6),TRUE
America/North_Dakota/New_Salem,America/North_Dakota/New_Salem (GMT-6),TRUE
America/Nuuk,America/Nuuk (GMT-3),TRUE
America/Ojinaga,America/Ojinaga (GMT-7),TRUE
America/Panama,America/Panama (GMT-5),TRUE
America/Pangnirtung,America/Pangnirtung (GMT-5),TRUE
America/Paramaribo,America/Paramaribo (GMT-3),TRUE
America/Phoenix,America/Phoenix (GMT-7),TRUE
America/Port-au-Prince,America/Port-au-Prince (GMT-5),TRUE
America/Port_of_Spain,America/Port_of_Spain (GMT-4),TRUE
America/Porto_Velho,America/Porto_Velho (GMT-4),TRUE
America/Puerto_Rico,America/Puerto_Rico (GMT-4),TRUE
America/Punta_Arenas,America/Punta_Arenas (GMT-3),TRUE
America/Rankin_Inlet,America/Rankin_Inlet (GMT-6),TRUE
America/Recife,America/Recife (GMT-3),TRUE
America/Regina,America/Regina (GMT-6),TRUE
America/Resolute,America/Resolute (GMT-6),TRUE
America/Rio_Branco,America/Rio_Branco (GMT-5),TRUE
America/Santarem,America/Santarem (GMT-3),TRUE
America/Santiago,America/Santiago (GMT-4),TRUE
America/Santo_Domingo,America/Santo_Domingo (GMT-4),TRUE
America/Sao_Paulo,America/Sao_Paulo (GMT-3),TRUE
America/Scoresbysund,America/Scoresbysund (GMT-1),TRUE
America/Sitka,America/Sitka (GMT-9),TRUE
America/St_Johns,America/St_Johns (GMT-3:30),TRUE
America/Swift_Current,America/Swift_Current (GMT-6),TRUE
America/Tegucigalpa,America/Tegucigalpa (GMT-6),TRUE
America/Thule,America/Thule (GMT-4),TRUE
America/Thunder_Bay,America/Thunder_Bay (GMT-5),TRUE
