name,display_name,is_active
Africa/Abidjan,Africa/Abidjan (GMT),true
Africa/Accra,Africa/Accra (GMT),true
Africa/Addis_Ababa,Africa/Addis_Ababa (GMT),true
Africa/Algiers,Africa/Algiers (GMT+1),true
Africa/Asmara,Africa/Asmara (GMT),true
Africa/Bamako,Africa/Bamako (GMT),true
Africa/Bangui,Africa/Bangui (GMT),true
Africa/Banjul,Africa/Banjul (GMT),true
Africa/Bissau,Africa/Bissau (GMT),true
Africa/Blantyre,Africa/Blantyre (GMT),true
Africa/Brazzaville,Africa/Brazzaville (GMT),true
Africa/Bujumbura,Africa/Bujumbura (GMT),true
Africa/Cairo,Africa/Cairo (GMT+2),true
Africa/Casablanca,Africa/Casablanca (GMT),true
Africa/Ceuta,Africa/Ceuta (GMT+1),true
Africa/Conakry,Africa/Conakry (GMT),true
Africa/Dakar,Africa/Dakar (GMT),true
Africa/Dar_es_Salaam,Africa/Dar_es_Salaam (GMT+3),true
Africa/Djibouti,Africa/Djibouti (GMT+3),true
Africa/Douala,Africa/Douala (GMT),true
Africa/El_Aaiun,Africa/El_Aaiun (GMT),true
Africa/Freetown,Africa/Freetown (GMT),true
Africa/Gaborone,Africa/Gaborone (GMT),true
Africa/Harare,Africa/Harare (GMT),true
Africa/Johannesburg,Africa/Johannesburg (GMT+2),true
Africa/Juba,Africa/Juba (GMT),true
Africa/Kampala,Africa/Kampala (GMT),true
Africa/Khartoum,Africa/Khartoum (GMT+2),true
Africa/Kigali,Africa/Kigali (GMT),true
Africa/Kinshasa,Africa/Kinshasa (GMT),true
Africa/Lagos,Africa/Lagos (GMT+1),true
Africa/Libreville,Africa/Libreville (GMT),true
Africa/Lome,Africa/Lome (GMT),true
Africa/Luanda,Africa/Luanda (GMT),true
Africa/Lubumbashi,Africa/Lubumbashi (GMT+2),true
Africa/Lusaka,Africa/Lusaka (GMT),true
Africa/Malabo,Africa/Malabo (GMT),true
Africa/Maputo,Africa/Maputo (GMT+2),true
Africa/Maseru,Africa/Maseru (GMT),true
Africa/Mbabane,Africa/Mbabane (GMT),true
Africa/Mogadishu,Africa/Mogadishu (GMT),true
Africa/Monrovia,Africa/Monrovia (GMT),true
Africa/Nairobi,Africa/Nairobi (GMT+3),true
Africa/Ndjamena,Africa/Ndjamena (GMT+1),true
Africa/Niamey,Africa/Niamey (GMT),true
Africa/Nouakchott,Africa/Nouakchott (GMT),true
Africa/Ouagadougou,Africa/Ouagadougou (GMT),true
Africa/Porto-Novo,Africa/Porto-Novo (GMT),true
Africa/Sao_Tome,Africa/Sao_Tome (GMT),true
Africa/Tripoli,Africa/Tripoli (GMT+2),true
Africa/Tunis,Africa/Tunis (GMT+1),true
Africa/Windhoek,Africa/Windhoek (GMT+1),true
America/Adak,America/Adak (GMT-10),true
America/Anchorage,America/Anchorage (GMT-9),true
America/Anguilla,America/Anguilla (GMT-4),true
America/Antigua,America/Antigua (GMT),true
America/Araguaina,America/Araguaina (GMT-3),true
America/Argentina/Buenos_Aires,America/Argentina/Buenos_Aires (GMT-3),true
America/Argentina/Catamarca,America/Argentina/Catamarca (GMT-3),true
America/Argentina/Cordoba,America/Argentina/Cordoba (GMT-3),true
America/Argentina/Jujuy,America/Argentina/Jujuy (GMT-3),true
America/Argentina/La_Rioja,America/Argentina/La_Rioja (GMT-3),true
America/Argentina/Mendoza,America/Argentina/Mendoza (GMT-3),true
America/Argentina/Rio_Gallegos,America/Argentina/Rio_Gallegos (GMT-3),true
America/Argentina/Salta,America/Argentina/Salta (GMT-3),true
America/Argentina/San_Juan,America/Argentina/San_Juan (GMT-3),true
America/Argentina/San_Luis,America/Argentina/San_Luis (GMT-3),true
America/Argentina/Tucuman,America/Argentina/Tucuman (GMT-3),true
America/Argentina/Ushuaia,America/Argentina/Ushuaia (GMT-3),true
America/Aruba,America/Aruba (GMT-4),true
America/Asuncion,America/Asuncion (GMT-4),true
America/Atikokan,America/Atikokan (GMT-5),true
America/Bahia,America/Bahia (GMT-3),true
America/Bahia_Banderas,America/Bahia_Banderas (GMT-6),true
America/Barbados,America/Barbados (GMT-4),true
America/Belem,America/Belem (GMT-3),true
America/Belize,America/Belize (GMT-6),true
America/Blanc-Sablon,America/Blanc-Sablon (GMT-4),true
America/Boa_Vista,America/Boa_Vista (GMT-4),true
America/Bogota,America/Bogota (GMT-5),true
America/Boise,America/Boise (GMT-7),true
America/Cambridge_Bay,America/Cambridge_Bay (GMT-7),true
America/Campo_Grande,America/Campo_Grande (GMT-4),true
America/Cancun,America/Cancun (GMT-5),true
America/Caracas,America/Caracas (GMT-4),true
America/Cayenne,America/Cayenne (GMT-3),true
America/Cayman,America/Cayman (GMT-5),true
America/Chicago,America/Chicago (GMT-6),true
America/Chihuahua,America/Chihuahua (GMT-7),true
America/Costa_Rica,America/Costa_Rica (GMT-6),true
America/Creston,America/Creston (GMT-7),true
America/Cuiaba,America/Cuiaba (GMT-4),true
America/Curacao,America/Curacao (GMT-4),true
America/Danmarkshavn,America/Danmarkshavn (GMT),true
America/Dawson,America/Dawson (GMT-8),true
America/Dawson_Creek,America/Dawson_Creek (GMT-7),true
America/Denver,America/Denver (GMT-7),true
America/Detroit,America/Detroit (GMT-5),true
America/Dominica,America/Dominica (GMT),true
America/Edmonton,America/Edmonton (GMT-7),true
America/Eirunepe,America/Eirunepe (GMT-5),true
America/El_Salvador,America/El_Salvador (GMT-6),true
America/Fort_Nelson,America/Fort_Nelson (GMT-7),true
America/Fortaleza,America/Fortaleza (GMT-3),true
America/Glace_Bay,America/Glace_Bay (GMT-4),true
America/Godthab,America/Godthab (GMT-3),true
America/Goose_Bay,America/Goose_Bay (GMT-4),true
America/Grand_Turk,America/Grand_Turk (GMT-5),true
America/Grenada,America/Grenada (GMT),true
America/Guadeloupe,America/Guadeloupe (GMT-4),true
America/Guatemala,America/Guatemala (GMT-6),true
America/Guayaquil,America/Guayaquil (GMT-5),true
America/Guyana,America/Guyana (GMT-4),true
America/Halifax,America/Halifax (GMT-4),true
America/Havana,America/Havana (GMT-5),true
America/Hermosillo,America/Hermosillo (GMT-7),true
America/Indiana/Indianapolis,America/Indiana/Indianapolis (GMT-5),true
America/Indiana/Knox,America/Indiana/Knox (GMT-6),true
America/Indiana/Marengo,America/Indiana/Marengo (GMT-5),true
America/Indiana/Petersburg,America/Indiana/Petersburg (GMT-5),true
America/Indiana/Tell_City,America/Indiana/Tell_City (GMT-6),true
America/Indiana/Vevay,America/Indiana/Vevay (GMT-5),true
America/Indiana/Vincennes,America/Indiana/Vincennes (GMT-5),true
America/Indiana/Winamac,America/Indiana/Winamac (GMT-5),true
America/Inuvik,America/Inuvik (GMT-7),true
America/Iqaluit,America/Iqaluit (GMT-5),true
America/Jamaica,America/Jamaica (GMT-5),true
America/Juneau,America/Juneau (GMT-9),true
America/Kentucky/Louisville,America/Kentucky/Louisville (GMT-5),true
America/Kentucky/Monticello,America/Kentucky/Monticello (GMT-5),true
America/Kralendijk,America/Kralendijk (GMT-4),true
America/La_Paz,America/La_Paz (GMT-4),true
America/Lima,America/Lima (GMT-5),true
America/Los_Angeles,America/Los_Angeles (GMT-8),true
America/Lower_Princes,America/Lower_Princes (GMT-4),true
America/Maceio,America/Maceio (GMT-3),true
America/Managua,America/Managua (GMT-6),true
America/Manaus,America/Manaus (GMT-4),true
America/Marigot,America/Marigot (GMT-4),true
America/Martinique,America/Martinique (GMT-4),true
America/Matamoros,America/Matamoros (GMT-6),true
America/Mazatlan,America/Mazatlan (GMT-7),true
America/Menominee,America/Menominee (GMT-6),true
America/Merida,America/Merida (GMT-6),true
America/Metlakatla,America/Metlakatla (GMT-9),true
