table_name,column_name,data_type,character_maximum_length,is_nullable,column_default,key_type,referenced_table_name,referenced_column_name
candidate_interview_evaluation,id,uuid,null,NO,gen_random_uuid(),PRIMARY KEY,null,null
candidate_interview_evaluation,job_interview_transcript_id,uuid,null,NO,null,FOREIGN KEY,job_interview_transcript,id
candidate_interview_evaluation,technical_skills_score,numeric,null,YES,null,,null,null
candidate_interview_evaluation,problem_solving_score,numeric,null,YES,null,,null,null
candidate_interview_evaluation,communication_collaboration_score,numeric,null,YES,null,,null,null
candidate_interview_evaluation,leadership_initiative_score,numeric,null,YES,null,,null,null
candidate_interview_evaluation,adaptability_learning_agility_score,numeric,null,YES,null,,null,null
candidate_interview_evaluation,cultural_fit_values_alignment_score,numeric,null,YES,null,,null,null
candidate_interview_evaluation,feedback,text,null,YES,null,,null,null
candidate_interview_evaluation,suggestions,text,null,YES,null,,null,null
candidate_interview_evaluation,created_at,timestamp with time zone,null,NO,now(),,null,null
candidate_interview_evaluation,updated_at,timestamp with time zone,null,NO,now(),,null,null
candidates,id,uuid,null,NO,gen_random_uuid(),PRIMARY KEY,null,null
candidates,user_id,uuid,null,NO,null,FOREIGN KEY,profiles,user_id
candidates,first_name,text,null,YES,null,,null,null
candidates,last_name,text,null,YES,null,,null,null
candidates,email,text,null,YES,null,,null,null
candidates,linkedin,text,null,YES,null,,null,null
candidates,resume_url,text,null,YES,null,,null,null
candidates,country,text,null,YES,null,FOREIGN KEY,countries,iso_code
candidates,created_at,timestamp with time zone,null,NO,now(),,null,null
candidates,updated_at,timestamp with time zone,null,NO,now(),,null,null
candidates_skills,id,uuid,null,NO,gen_random_uuid(),PRIMARY KEY,null,null
candidates_skills,candidate_id,uuid,null,NO,null,FOREIGN KEY,candidates,id
candidates_skills,skill,text,null,NO,null,,null,null
candidates_skills,type,text,null,NO,null,FOREIGN KEY,skill_types,name
candidates_skills,source,text,null,NO,null,FOREIGN KEY,skill_sources,name
candidates_skills,proficiency_level,text,null,YES,null,FOREIGN KEY,proficiency_levels,name
candidates_skills,created_at,timestamp with time zone,null,NO,now(),,null,null
candidates_skills,updated_at,timestamp with time zone,null,NO,now(),,null,null
companies,id,uuid,null,NO,gen_random_uuid(),PRIMARY KEY,null,null
companies,user_id,uuid,null,NO,null,FOREIGN KEY,profiles,user_id
companies,name,text,null,NO,null,,null,null
companies,industry_id,uuid,null,YES,null,FOREIGN KEY,industries,id
companies,website,text,null,YES,null,,null,null
companies,linkedin,text,null,YES,null,,null,null
companies,country,text,null,YES,null,FOREIGN KEY,countries,iso_code
companies,culture,text,null,YES,null,,null,null
companies,created_at,timestamp with time zone,null,NO,now(),,null,null
companies,updated_at,timestamp with time zone,null,NO,now(),,null,null
countries,id,uuid,null,NO,gen_random_uuid(),PRIMARY KEY,null,null
countries,iso_code,text,null,NO,null,,null,null
countries,display_name,text,null,NO,null,,null,null
countries,region,text,null,YES,null,FOREIGN KEY,regions,name
countries,region_parent,text,null,YES,null,FOREIGN KEY,regions,name
